artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bombay Jayashri,Vaseegara,3YRj4jmwois2ctPnhwSwFo,58,0.695,0.293,11,-16.278,0,0.0431,0.596,0.0158,0.132,0.637,143.804,299147,4
Troye Sivan,Strawberries & Cigarettes,3afkJSKX0EAMsJXTZnDXXJ,80,0.578,0.537,9,-8.676,1,0.0832,0.162,0.0,0.076,0.25,83.909,201539,4
The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,100,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
BLACKPINK,Lovesick Girls,1GMufNnkKAnPLnqKJ5HHxW,73,0.658,0.732,6,-4.762,1,0.0654,0.00513,0.0,0.13,0.409,127.995,192765,4
The 1975,Somebody Else,1JIWyERVO0MWPBC5W7OF2Q,41,0.618,0.793,0,-5.711,1,0.0601,0.204,0.0154,0.126,0.459,101.015,347526,4
Pritam,"Hawayein (From ""Jab Harry Met Sejal"")",6871FKHumiy1Wfr6vF7Xxt,61,0.606,0.601,2,-5.576,1,0.0283,0.796,0.000511,0.127,0.453,125.961,289999,4
Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,84,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4
TWICE,MAKE ME GO,6caS9LrdquWAfGeAmjqt1t,54,0.818,0.633,7,-3.145,1,0.0611,0.00539,0.00174,0.0446,0.814,111.517,186707,4
Yuvan Shankar Raja,Oru Naalil,3eVkn2lYFVq8vZNDR0gf1Z,55,0.72,0.533,6,-6.43,1,0.0407,0.301,2.39e-05,0.0773,0.75,80.0,382067,4
BLACKPINK,You Never Know,00J8yszzb5PR6ZIvSBtg0Y,66,0.527,0.462,5,-5.504,1,0.0494,0.227,0.0,0.164,0.334,144.573,229202,4
BTS,Stay Gold,0UwQTbq7ZtBJ7v530mpaxP,62,0.724,0.631,1,-5.403,1,0.0517,0.0873,0.0,0.0752,0.548,129.019,243733,4
Hwa Sa,Maria,0ZeGfEAL5Rl4pd5LZBGuEK,74,0.658,0.749,9,-2.967,0,0.0634,0.238,2.03e-06,0.272,0.442,128.909,199027,4
Hwa Sa,Orbit,0m1f9KaRUnRBYSEkAH7pdj,60,0.482,0.656,0,-4.554,0,0.0399,0.499,0.000124,0.338,0.312,138.099,186067,4
BLACKPINK,Ice Cream (with Selena Gomez),1cdbkpZ3q1KYZDNSrOpdkb,72,0.791,0.733,9,-3.852,1,0.35,0.0305,0.000169,0.0423,0.913,159.974,175813,4
Harry Styles,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,72,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
BLACKPINK,Pretty Savage,28tufPkTcXmdNqTvi9hsoG,66,0.699,0.588,9,-6.533,0,0.0402,0.00807,0.000131,0.107,0.35,151.971,199122,4
ROSÉ,On The Ground,2xgACMNtJ5YktyvOC83SPO,75,0.311,0.607,1,-6.578,1,0.11,0.0174,0.0,0.131,0.286,188.7,168086,4
Justin Bieber,Intentions,364dI1bYnvamSnBJ8JcNzN,76,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,212869,4
Ariana Grande,imagine,39LmTF9RgyakzSYX8txrow,71,0.729,0.475,8,-4.985,1,0.0364,0.378,0.0,0.12,0.371,62.52,212267,3
BLACKPINK,Bet You Wanna (Feat. Cardi B),3AgMOlgdrG9RJXDWifcjVd,65,0.541,0.688,7,-5.184,1,0.198,0.00479,0.0,0.0733,0.649,109.843,159168,4
Ariana Grande,shut up,3ko9jEHNt4O5fjKN65ULJp,63,0.499,0.462,0,-5.308,1,0.0312,0.801,0.0,0.0946,0.599,127.698,157710,4
BLACKPINK,STAY,3tP6QKbXvtrxiDI7QwKyUf,70,0.63,0.432,1,-6.721,1,0.0357,0.551,5.84e-06,0.0962,0.343,87.959,230323,4
Ariana Grande,in my head,4T652DlATVHe0jdLKaN3Bw,70,0.662,0.6,0,-6.402,1,0.0703,0.173,0.000137,0.109,0.331,134.979,222947,4
One Direction,Night Changes,5O2P9iiztwhomNh8xkR9lJ,81,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,226600,4
BTS,Blood Sweat & Tears,5RGf8qn1TBWVplLyyKUsuV,74,0.583,0.885,0,-3.571,0,0.106,0.0244,0.0,0.357,0.601,92.959,217052,4
Troye Sivan,FOOLS,5lMgUPtlARalVIGxl0xE3J,62,0.292,0.678,10,-5.595,1,0.0724,0.192,0.0,0.146,0.365,87.436,220403,4
Jasleen Royal,"Ranjha (From ""Shershaah"")",72zHuDxFQTjbL51qJQSA7j,84,0.603,0.573,1,-5.843,1,0.0502,0.478,0.0,0.0971,0.236,82.941,228855,4
BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition],75scDPqGs75FotglJSoOI2,76,0.606,0.848,11,-3.952,1,0.184,0.0114,1.06e-06,0.206,0.54,170.01,307676,4
SUNMI,pporappippam 보라빛 밤,7oQh96s9YemWG3A4zkIbrU,62,0.714,0.828,1,-4.68,0,0.0428,0.0513,0.0652,0.0347,0.318,120.014,206617,4
Yuvan Shankar Raja,"En Kadhal Solla (From ""Paiya"")",7vR8sGqVg5HMEOEvECdzlQ,51,0.874,0.412,0,-5.746,0,0.0313,0.035,0.00684,0.102,0.56,105.019,293893,4
A.R. Rahman,Jwalamukhi - Reprise,69kT5bXX3cp6V9dC86Tt8n,42,0.461,0.446,5,-10.991,1,0.0329,0.125,0.000514,0.106,0.177,159.814,248005,4
A.R. Rahman,Sofia,1PFVbnDiQG3PIt1KXpc2lG,35,0.333,0.458,5,-11.218,1,0.038,0.438,0.0,0.0817,0.267,136.059,272183,3
Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,96,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4
Dua Lipa,Levitating,39LLxExYz6ewLAcYrzQQyP,85,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,203808,4
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,91,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4
Ariana Grande,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,91,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,92,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,4
BTS,Butter,3VqeTFIvhxu3DIe4eZVzGq,53,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,164442,4
Ariana Grande,motive (with Doja Cat),5VipERQ1ofCowecoFg2MVU,62,0.789,0.742,10,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965,167990,4
Duncan Laurence,Arcade,1Xi84slp6FryDSCbzq4UCD,83,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624,3
Justin Bieber,Hold On,4u4NyuceXP7Uzh7XFJKCr1,80,0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98,170813,4
Anirudh Ravichander,"Rendu Kaadhal (From ""Kaathuvaakula Rendu Kaadhal"")",4Lm0D6ituSgOi1AXLhUqcx,59,0.288,0.462,2,-8.91,0,0.0335,0.767,0.00704,0.112,0.217,159.53,260125,4
Anirudh Ravichander,Idhazhin Oram - The Innocence of Love,6NwEpX2JUWHVKWfDDfcqC4,62,0.65,0.783,7,-6.197,0,0.0377,0.22,3.71e-06,0.182,0.302,109.959,204867,4
Anirudh Ravichander,Kanave Kanave,6sPW145Y3LSXd4p1LjBOcS,62,0.47,0.513,9,-10.076,0,0.0294,0.373,6.5e-06,0.123,0.477,95.015,284784,1
Bella Poarch,Build a Bitch,7BoobGhD4x5K96Me0hqC8Q,84,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,122773,4
Ariana Grande,pov,3UoULw70kMsiVXxW0L3A33,79,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,201882,4
Anirudh Ravichander,Kannazhaga - The Kiss of Love,2MwCoo4GeXpi8soWn9EiPo,61,0.574,0.496,8,-7.153,0,0.0277,0.431,0.0,0.399,0.61,109.935,205947,4
ROSÉ,Gone,2ayIgfvWo3SfYP2pVOr4pC,73,0.647,0.377,6,-6.003,1,0.0375,0.594,0.0,0.0768,0.653,79.936,207164,4
Anirudh Ravichander,Nee Paartha Vizhigal - The Touch of Love,0xttqqTj7ZAGyVkfOYxQ4F,60,0.665,0.596,9,-6.969,0,0.0278,0.293,3.67e-05,0.247,0.644,110.055,264507,4
BTS,Mikrokosmos,5hnbE5BF2e8BCk9OMR1UVC,76,0.58,0.858,8,-5.212,1,0.114,0.125,0.0,0.0502,0.475,174.039,224225,3
Anirudh Ravichander,Po Nee Po - The Pain of Love,6zdikHQs2PBFgGIZBxqOeV,59,0.549,0.619,4,-6.924,0,0.0344,0.372,7.67e-06,0.146,0.407,90.034,251787,4
Ariana Grande,off the table (with The Weeknd),7E1jVNoWuemqUryI4FxsVD,67,0.411,0.522,0,-7.295,1,0.0981,0.519,0.0,0.398,0.382,88.332,239949,1
BLACKPINK,Don't Know What To Do,7ibZWzytUh41z5ycK2I5N8,2,0.628,0.64,6,-4.164,0,0.0491,0.0992,0.0,0.138,0.409,129.815,201081,4
BLACKPINK,How You Like That,6y6k14YN6MbKpGIv1Rk00Q,5,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,181264,4
Hwa Sa,LMM,61RWlWnaIKrOBnmjdQgFOH,53,0.296,0.423,0,-5.807,1,0.033,0.845,7.29e-05,0.926,0.203,137.196,281907,4
BLACKPINK,Kick It,6MN6oiT2d7qxYEOwXwgV34,1,0.765,0.787,1,-3.647,0,0.0445,0.0156,0.0,0.0736,0.381,124.949,191226,4
Ariana Grande,six thirty,2IKJtXeR5UsaUjZB46fTOK,63,0.739,0.516,0,-7.154,1,0.0539,0.67,0.0,0.151,0.434,120.109,183874,4
Anirudh Ravichander,"Master the Blaster (From ""Master"")",2cVJDlu9jmkPUeuJxA6v8i,59,0.756,0.816,4,-1.418,0,0.0972,0.3,0.0,0.172,0.899,100.04,92250,4
BLACKPINK,Kill This Love,0M98PvIvx7vZ8LDpzMw1hB,3,0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,189052,4
24kGoldn,Coco (feat. DaBaby),2V6pjeOCuPBVlatcWTXUtP,13,0.692,0.774,7,-4.385,0,0.0872,0.146,0.0,0.155,0.533,98.066,142000,4
24kGoldn,Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,28,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,140526,4
Olivia Rodrigo,drivers license,7lPN2DXiMsVn7XUKtOW1CS,51,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014,4
Ghibran,Yaar Azhaippadhu,2ZqzELrxZZyeTPSR7GZBH4,56,0.626,0.525,10,-7.417,1,0.0338,0.675,0.0,0.0645,0.45,114.921,250326,3
Lauv,I Like Me Better,2P91MQbaiQOfbiz9VqhqKQ,82,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437,4
BLACKPINK,Bet You Wanna,0gDZin7caaHRjfiqJRPpgG,3,0.541,0.688,7,-5.184,1,0.198,0.00479,0.0,0.0733,0.649,109.843,159168,4
BLACKPINK,"LET IT BE〜 YOU&I〜 ONLY LOOK AT ME / ROSÉ - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",7Iv6YcXoLNhTPYhHqtyNUy,56,0.359,0.29,4,-11.105,1,0.038,0.837,0.0,0.507,0.226,137.304,296033,4
Destiny Rogers,Tomboy,5Ti3fqGTfjUsSdylFNy0Ng,72,0.644,0.645,0,-5.437,0,0.0557,0.423,0.00512,0.116,0.459,77.998,203446,4
Achint,Scam 1992 Theme Music,3A04b0nJb2nAzGUw2rqDsI,55,0.516,0.486,4,-11.45,0,0.0249,0.00411,0.277,0.34,0.454,87.045,86207,4
Alka Yagnik,Agar Tum Saath Ho,3hkC9EHFZNQPXrtl8WPHnX,71,0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,341055,4
Schoolgirl Byebye,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,25,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893,74302,3
Melanie Martinez,Play Date,4DpNNXFMMxQEKl7r0ykkWA,81,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97,179867,4
Iron Maiden,Wasted Years - 2015 Remaster,1HM7Vp84E4SMzdrZONg6bH,64,0.314,0.959,4,-4.657,0,0.0908,0.0263,0.000148,0.161,0.492,154.221,309640,4
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",3zHq9ouUJQFQRf3cm1rRLu,79,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,252534,4
Beatsteaks,Gentleman of the Year - 2015 Remaster,5ya8rum1Yym1ObenIygXAC,24,0.625,0.954,11,-5.596,0,0.0386,0.000308,0.00465,0.577,0.786,120.13,249333,4
Amaal Mallik,Soch Na Sake,6mTvwBzWTGDOVeCNQEqtOE,66,0.505,0.667,9,-5.797,1,0.0323,0.597,0.0,0.213,0.516,151.728,281323,4
Lukas,7 Years,5Doh6zKIrSCli4R5bIcN8F,19,0.535,0.561,10,-7.471,1,0.0512,0.657,0.0,0.147,0.474,59.895,232000,4
Atif Aslam,"Jeena Jeena (From ""Badlapur"")",6h09y5UH6sDRERJALlaJPi,63,0.676,0.319,5,-9.201,1,0.0279,0.783,0.0,0.117,0.565,105.002,228969,4
Tori Amos,Pretty Good Year - 2015 Remaster,0PbE6CgOXKNn622YBGki4w,22,0.388,0.195,6,-14.857,1,0.0339,0.933,3.97e-06,0.0989,0.321,133.152,205640,4
Jeet Gannguli,Hamari Adhuri Kahani (Title Track),3HiobOOpSpMsi95WBKPBYk,64,0.223,0.359,0,-7.569,1,0.0312,0.845,0.0,0.133,0.193,73.059,398799,4
Anthem Lights,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,32,0.39,0.455,4,-4.247,1,0.0316,0.397,0.0,0.125,0.358,107.012,182288,4
Justin Bieber,Love Yourself,50kpGaPAhYJ3sGmk6vplg0,83,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,233720,4
Subsong,Funkyfarm,6sHe4RVG6RLmnKbEOfNR1F,30,0.795,0.887,11,-7.478,1,0.0586,0.00118,0.341,0.121,0.974,111.984,175373,4
Wiz Khalifa,See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,81,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,229526,4
Placebo,"Twenty Years - Live At Europavox Festival, France 2015",5C7iwWBAfCSJ1C8kkp03cD,23,0.405,0.938,4,-4.887,0,0.135,0.0271,0.0,0.401,0.293,130.629,276219,4
Justin Bieber,Sorry,09CtPGIpYB4BrO8qb1RGsF,81,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787,4
David Bowie,Changes - 2015 Remaster,5O2KvGO2jE74XxMNQpPxsm,23,0.559,0.308,0,-11.75,1,0.0376,0.505,0.0,0.109,0.414,113.633,217747,4
Pritam,Zindagi Kuch Toh Bata (Reprise),6TGX01ExmdHyOG72fqUU3Q,62,0.528,0.615,5,-7.118,1,0.0372,0.491,0.000111,0.104,0.225,123.988,258879,4
Ran-D,No Guts No Glory - Defqon.1 Anthem 2015,5j0mpQhOd17txGdJKRf2ne,21,0.404,0.957,5,-3.275,0,0.0874,0.0103,0.00954,0.293,0.15,150.428,358536,4
Coldplay,Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy,81,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258267,4
Phil Collins,Can't Turn Back The Years - 2015 Remastered,3R3hLQX2u6lZIORZQsJmtD,47,0.648,0.194,5,-13.318,0,0.037,0.476,0.0102,0.09,0.304,173.231,280507,4
One Direction,Drag Me Down,2K87XMYnUMqLcX3zvtAF4G,80,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,4
David Bowie,Queen Bitch - 2015 Remaster,0bx62Ku1d0ZyZfdLo67nZw,18,0.599,0.637,0,-13.083,1,0.0305,0.0248,0.0,0.0612,0.968,137.171,200507,4
Armaan Malik,Main Rahoon Ya Na Rahoon,6f3ANRNQ8nCiPZ6VqXqq93,62,0.55,0.488,6,-8.059,1,0.0284,0.718,0.000118,0.126,0.301,136.025,309458,3
The Flaming Lips,When You Smile - 2015 Remaster,6e96Aek76bNvWgCqDN8iAo,18,0.231,0.756,2,-10.812,1,0.0752,0.509,0.0069,0.197,0.174,178.303,193587,4
Sunil Kamath,Kinna Sona,2gXZp1zDDA5bnPsLwrSMRj,61,0.716,0.626,1,-5.274,1,0.0347,0.608,8.26e-06,0.191,0.467,120.021,303756,4
The Flaming Lips,This Here Giraffe - 2015 Remaster,5qyC7PnBvouNLZ943ayXhX,18,0.419,0.781,9,-9.954,1,0.0381,0.0117,0.00105,0.136,0.843,127.508,226533,4
Ami Mishra,Hasi - Male Version,32765xcLM1fd6wQIpkN9A0,62,0.296,0.581,6,-5.945,0,0.0338,0.433,0.0,0.0577,0.231,147.935,272669,4
The Flaming Lips,Psychiatric Explorations of the Fetus with Needles - 2015 Remaster,7jUcm67t61jqDLApNJGz21,18,0.262,0.668,9,-10.86,1,0.0389,0.00163,0.803,0.261,0.0647,126.733,207360,4
Maroon 5,Animals,3h4T9Bg8OVSUYa6danHeH5,66,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868,231013,4
David Bowie,Holy Holy - Spiders Version; 2015 Remaster,66BTz98mYCizmDGRcl1TJo,17,0.464,0.587,2,-12.283,1,0.037,0.0833,0.00647,0.0524,0.548,109.207,138067,4
Shawn Mendes,Stitches,3zkWCteF82vJwv0hRLba76,78,0.746,0.754,1,-6.684,1,0.0676,0.0152,0.0,0.0486,0.746,149.882,206880,4
David Bowie,Life on Mars? - 2015 Remaster,769Gf7dDk9ChZrQIzt038b,39,0.445,0.384,10,-14.642,1,0.0417,0.635,7.74e-05,0.0539,0.216,123.295,235987,4
Ankit Tiwari,Tu Hai Ki Nahi,4brSaQIT3bnnE41D042fgL,61,0.535,0.754,10,-4.77,0,0.0562,0.458,1.6e-06,0.302,0.435,143.862,333922,4
T-SQUARE,Open The 35th Gate (Live Version),3gRWbL8DQf0N8K4a1ADSUk,21,0.612,0.807,5,-9.325,1,0.0341,0.0047,0.827,0.579,0.744,131.948,413271,4
Cartoon,On & On,4B2kkxg3wKSTZw5JPaUtzQ,73,0.458,0.696,11,-4.742,1,0.0402,0.285,0.0,0.123,0.418,174.141,207069,4
David Bowie,I Wish You Would - 2015 Remaster,4s3XabMZXMmaMNHYEubZ0i,16,0.554,0.691,2,-10.53,1,0.0515,0.000942,0.0105,0.186,0.542,101.208,168480,4
Sanam,O Mere Dil Ke Chain,3WVtOC0yQGiifTSeESXIrw,60,0.784,0.639,11,-7.309,0,0.0383,0.217,1.64e-06,0.0899,0.705,122.006,202623,4
Sunrise Avenue,Fairytale Gone Bad - Live At Berlin Wuhlheide / 2015,4F1z9HP0QncjFaRG1KZRK4,16,0.279,0.685,10,-8.077,0,0.0457,0.000507,0.0,0.963,0.151,137.969,378462,4
Ami Mishra,Hasi - Female Version,1cmZbGkCEVVAck2MsWpPYQ,61,0.52,0.485,4,-6.438,0,0.0269,0.927,0.000466,0.159,0.407,143.901,192187,4
David Bowie,Moonage Daydream - The Arnold Corns Single Version; 2015 Remaster,1Yb30zTZh4Ha7LDdJxRR9v,16,0.564,0.551,9,-11.505,0,0.0371,0.181,4.8e-06,0.0653,0.815,140.402,233434,4
The Local Train,Choo Lo,2qgXrzJsry4KgYoJCpuaul,60,0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.957,233630,4
Giorgos Zambetas,Otan Tha Lavis Afto To Grama,55SFVvOBV0gY00vDEvgSRf,19,0.603,0.499,2,-8.31,0,0.0326,0.78,0.0,0.254,0.648,119.95,222933,4
Rekha Bhardwaj,"Judaai (From ""Badlapur)",5K5kYg6D3rOks7NyLpziTU,59,0.298,0.37,7,-9.386,0,0.0854,0.748,1.3e-05,0.138,0.227,69.538,271379,4
Giorgos Zambetas,Peristeri,3bmBASAizfhWn39E2suo9Q,19,0.63,0.553,2,-10.504,0,0.0348,0.081,0.00512,0.317,0.969,144.92,182067,5
Lucky Ali,Safarnama,6w458kA8WOAIZr1ublxnK9,60,0.541,0.512,9,-10.203,1,0.0291,0.74,0.000528,0.162,0.203,120.036,251402,4
Tori Amos,Silent All These Years - 2015 Remaster,5kRDK0lC01ceWWuXgkjYLi,42,0.48,0.228,4,-10.833,1,0.0354,0.936,1.11e-05,0.11,0.295,128.035,251240,4
Pritam,Saware,1juJ3mwsFerctbngtK42G4,59,0.499,0.683,6,-6.373,0,0.0334,0.703,0.00161,0.0749,0.295,134.95,321613,4
David Bowie,Space Oddity - UK Mono Single Edit; 2015 Remaster,1jc1pjS2K5rjGILNO0C9tW,15,0.328,0.536,0,-8.7,1,0.0385,0.189,7.1e-05,0.0982,0.456,135.457,282707,4
Arijit Singh,Sooraj Dooba Hain,48pyUxg9RYuwie5M9R7qRn,60,0.616,0.75,2,-4.629,1,0.0594,0.172,0.0,0.137,0.434,128.051,264854,4
David Bowie,Letter to Hermione - 2015 Remaster,6LIQz0iiokJkCjpRtwIHKT,14,0.409,0.264,4,-16.366,0,0.0381,0.846,0.00021,0.108,0.55,81.053,156960,4
The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,84,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,4
Dr. Feelgood,Sneakin' Suspicion - 2015 Version,2vba1ixYXxfVyuadb8eVpQ,14,0.628,0.812,7,-7.099,1,0.0244,0.015,0.416,0.158,0.836,98.033,233973,4
Major Lazer,Lean On,1Lim1Py7xBgbAkAys3AGAG,72,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,4
David Bowie,Unwashed and Somewhat Slightly Dazed - 2015 Remaster,2tIZ64nUzIYLyjpxjPfG19,14,0.274,0.755,5,-10.107,1,0.0919,0.00483,1.92e-05,0.204,0.574,165.438,412987,4
Yashita Sharma,Gallan Goodiyaan,7hNYvX0qAKrxtVr1jGDmvR,60,0.83,0.858,6,-3.18,0,0.0554,0.134,1.72e-05,0.0567,0.949,119.974,296500,4
Sunrise Avenue,Hollywood Hills - Live At Berlin Wuhlheide / 2015,4Osqy2UmbeyLz6Sdc2mpry,14,0.462,0.875,11,-6.999,1,0.0629,6.87e-05,0.00423,0.706,0.23,138.106,309369,4
Pritam,Janam Janam,4km0RUkMMFdx8iDuq36o2w,60,0.301,0.581,11,-7.324,0,0.0422,0.602,0.0,0.0757,0.235,132.051,237897,3
Accept,"200 Years - Live, in Pratteln, 2015",4DkIFqdeUUhTs6A9JPK69c,13,0.386,0.957,6,-4.805,0,0.0763,9.99e-06,0.282,0.503,0.513,144.769,273987,4
Amaal Mallik,O Khuda,5bdX7jiXtSbHX35pgxJo8p,58,0.358,0.479,4,-5.879,0,0.0286,0.511,9.72e-06,0.435,0.333,121.467,307451,4
